"uuid","entry","row","column","block","plot","location","species","trait","value","timestamp","person","location","number","device_name"
"0196e260-273d-74ea-808c-05eda2542d7b","PI 285177","1","1","1","0001","KAUST","Sesamum indicum","Phyllody Disease - Candidatus phytoplasma","No","2025-06-01 16:41:15.003+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808c-05eda2542d7b","PI 285177","1","1","1","0001","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:10:56.729+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808c-05eda2542d7b","PI 285177","1","1","1","0001","KAUST","Sesamum indicum","Harvested","false","2025-07-28 08:42:10.441+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808c-05eda2542d7b","PI 285177","1","1","1","0001","KAUST","Sesamum indicum","July 22-24 Growth Stage","7- 90% No Open Flowers","2025-07-28 08:52:51.961+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808c-babe9d58e531","PI 655063","1","2","1","0002","KAUST","Sesamum indicum","July 17 Growth Stage","4- 50% Or More Have Flowered","2025-07-17 07:11:32.066+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808c-babe9d58e531","PI 655063","1","2","1","0002","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-28 08:53:51.963+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808d-6c7c6dc09a35","25K-134","1","3","1","0003","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:11:42.214+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808d-6c7c6dc09a35","25K-134","1","3","1","0003","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:02:20.159+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808e-22070dd3501d","PI 531239","1","4","1","0004","KAUST","Sesamum indicum","July 17 Growth Stage","4- 50% Or More Have Flowered","2025-07-17 07:11:51.241+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808e-22070dd3501d","PI 531239","1","4","1","0004","KAUST","Sesamum indicum","July 22-24 Growth Stage","6- Stopped Flowering Branches And Minor Plants","2025-07-22 08:02:25.365+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808e-d4bbdf167d20","25K-088","1","5","1","0005","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:11:55.423+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808e-d4bbdf167d20","25K-088","1","5","1","0005","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:02:33.077+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a83f-5e28f942bc85","PI 490184","1","6","1","0006","KAUST","Sesamum indicum","July 17 Growth Stage","4- 50% Or More Have Flowered","2025-07-17 07:12:17.859+03:00","Conner Johnson","","1","Pixel 6a"
